Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 304/7812: Reward=-738.501, SPS=157
Update 305/7812: Reward=-711.792, SPS=157
Update 306/7812: Reward=-726.959, SPS=157
Update 307/7812: Reward=-760.280, SPS=157
Update 308/7812: Reward=-724.478, SPS=157
Update 309/7812: Reward=-718.579, SPS=157
Update 310/7812: Reward=-742.777, SPS=157
Update 311/7812: Reward=-779.414, SPS=157
Update 312/7812: Reward=-734.889, SPS=157
Update 313/7812: Reward=-731.343, SPS=157
Update 314/7812: Reward=-779.030, SPS=157
Update 315/7812: Reward=-734.035, SPS=157
Update 316/7812: Reward=-724.407, SPS=157
Update 317/7812: Reward=-752.042, SPS=157
Update 318/7812: Reward=-757.500, SPS=157
Update 319/7812: Reward=-736.846, SPS=157
Update 320/7812: Reward=-754.173, SPS=157
Update 321/7812: Reward=-739.688, SPS=157
Update 322/7812: Reward=-737.298, SPS=157
Update 323/7812: Reward=-714.585, SPS=157
Update 324/7812: Reward=-744.126, SPS=157
Update 325/7812: Reward=-780.671, SPS=157
Update 326/7812: Reward=-731.986, SPS=157
Update 327/7812: Reward=-725.690, SPS=157
Update 328/7812: Reward=-675.314, SPS=157
Update 329/7812: Reward=-784.711, SPS=158
Update 330/7812: Reward=-697.649, SPS=158
Update 331/7812: Reward=-736.718, SPS=158
Update 332/7812: Reward=-749.003, SPS=158
Update 333/7812: Reward=-736.071, SPS=158
Update 334/7812: Reward=-746.216, SPS=158
Update 335/7812: Reward=-676.200, SPS=158
Update 336/7812: Reward=-757.359, SPS=158
Update 337/7812: Reward=-735.654, SPS=158
Update 338/7812: Reward=-739.462, SPS=158
Update 339/7812: Reward=-731.275, SPS=157
Update 340/7812: Reward=-734.310, SPS=157
Update 341/7812: Reward=-742.201, SPS=157
Update 342/7812: Reward=-746.984, SPS=157
Update 343/7812: Reward=-811.524, SPS=158
Update 344/7812: Reward=-747.984, SPS=158
Update 345/7812: Reward=-756.174, SPS=158
Update 346/7812: Reward=-753.817, SPS=158
Update 347/7812: Reward=-748.568, SPS=158
Update 348/7812: Reward=-692.779, SPS=158
Update 349/7812: Reward=-738.923, SPS=158
Update 350/7812: Reward=-746.729, SPS=158
Update 351/7812: Reward=-725.775, SPS=158
Update 352/7812: Reward=-739.730, SPS=158
Update 353/7812: Reward=-742.534, SPS=158
Update 354/7812: Reward=-745.067, SPS=158
Update 355/7812: Reward=-713.488, SPS=158
Update 356/7812: Reward=-739.228, SPS=158
Update 357/7812: Reward=-738.594, SPS=158
Update 358/7812: Reward=-734.822, SPS=158
Update 359/7812: Reward=-749.640, SPS=158
Update 360/7812: Reward=-734.131, SPS=158
Update 361/7812: Reward=-745.136, SPS=158
Update 362/7812: Reward=-740.875, SPS=158
Update 363/7812: Reward=-747.823, SPS=158
Update 364/7812: Reward=-765.819, SPS=158
Update 365/7812: Reward=-740.186, SPS=158
Update 366/7812: Reward=-724.694, SPS=158
Update 367/7812: Reward=-741.476, SPS=158
Update 368/7812: Reward=-728.196, SPS=158
Update 369/7812: Reward=-731.559, SPS=158
Update 370/7812: Reward=-744.100, SPS=158
