Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 156/7812: Reward=-245.668, SPS=155, OffWin=0.38, DefWin=0.00
Update 157/7812: Reward=-246.471, SPS=155, OffWin=0.20, DefWin=0.00
Update 158/7812: Reward=-260.526, SPS=155, OffWin=0.33, DefWin=0.00
Update 159/7812: Reward=-125.615, SPS=155, OffWin=0.50, DefWin=0.00
Update 160/7812: Reward=-249.588, SPS=155, OffWin=0.29, DefWin=0.00
Update 161/7812: Reward=-164.901, SPS=155, OffWin=0.50, DefWin=0.00
Update 162/7812: Reward=-258.122, SPS=155, OffWin=0.20, DefWin=0.00
Update 163/7812: Reward=-262.094, SPS=155, OffWin=0.20, DefWin=0.00
Update 164/7812: Reward=-244.800, SPS=155, OffWin=0.14, DefWin=0.00
Update 165/7812: Reward=-181.161, SPS=155, OffWin=0.60, DefWin=0.00
Update 166/7812: Reward=-298.931, SPS=155, OffWin=0.29, DefWin=0.00
Update 167/7812: Reward=-269.755, SPS=155, OffWin=0.20, DefWin=0.00
Update 168/7812: Reward=-231.295, SPS=156, OffWin=0.50, DefWin=0.00
Update 169/7812: Reward=-235.426, SPS=156, OffWin=0.33, DefWin=0.00
Update 170/7812: Reward=-246.777, SPS=156, OffWin=0.20, DefWin=0.00
Update 171/7812: Reward=-148.354, SPS=156, OffWin=0.67, DefWin=0.00
Update 172/7812: Reward=-211.102, SPS=156, OffWin=0.25, DefWin=0.00
Update 173/7812: Reward=-136.176, SPS=156, OffWin=0.40, DefWin=0.00
Update 174/7812: Reward=-205.669, SPS=156, OffWin=0.20, DefWin=0.00
Update 175/7812: Reward=-219.936, SPS=156, OffWin=0.29, DefWin=0.00
Update 176/7812: Reward=-223.124, SPS=157, OffWin=0.25, DefWin=0.00
Update 177/7812: Reward=-157.752, SPS=157, OffWin=0.00, DefWin=0.00
Update 178/7812: Reward=-248.612, SPS=157, OffWin=0.00, DefWin=0.00
Update 179/7812: Reward=-248.307, SPS=157, OffWin=0.29, DefWin=0.00
Update 180/7812: Reward=-164.458, SPS=157, OffWin=0.50, DefWin=0.00
Update 181/7812: Reward=-258.534, SPS=157, OffWin=0.33, DefWin=0.00
Update 182/7812: Reward=-221.584, SPS=157, OffWin=0.25, DefWin=0.00
Update 183/7812: Reward=-130.000, SPS=157, OffWin=0.75, DefWin=0.00
Update 184/7812: Reward=-209.479, SPS=157, OffWin=0.17, DefWin=0.00
Update 185/7812: Reward=-247.587, SPS=157, OffWin=0.38, DefWin=0.00
Update 186/7812: Reward=-257.968, SPS=158, OffWin=0.00, DefWin=0.00
Update 187/7812: Reward=-304.536, SPS=158, OffWin=0.00, DefWin=0.00
Update 188/7812: Reward=-174.542, SPS=158, OffWin=0.67, DefWin=0.00
Update 189/7812: Reward=-280.031, SPS=158, OffWin=0.00, DefWin=0.00
Update 190/7812: Reward=-193.429, SPS=158, OffWin=0.40, DefWin=0.00
Update 191/7812: Reward=-267.881, SPS=158, OffWin=0.33, DefWin=0.00
Update 192/7812: Reward=-267.801, SPS=158, OffWin=0.00, DefWin=0.00
Update 193/7812: Reward=-146.318, SPS=158, OffWin=0.62, DefWin=0.00
Update 194/7812: Reward=-237.614, SPS=158, OffWin=0.33, DefWin=0.00
Update 195/7812: Reward=-276.593, SPS=158, OffWin=0.17, DefWin=0.00
Update 196/7812: Reward=-235.734, SPS=158, OffWin=0.43, DefWin=0.00
Update 197/7812: Reward=-265.130, SPS=159, OffWin=0.20, DefWin=0.00
Update 198/7812: Reward=-318.232, SPS=159, OffWin=0.17, DefWin=0.00
Update 199/7812: Reward=-285.270, SPS=159, OffWin=0.29, DefWin=0.00
Update 200/7812: Reward=-204.413, SPS=159, OffWin=0.40, DefWin=0.00
Update 201/7812: Reward=-306.134, SPS=159, OffWin=0.25, DefWin=0.00
Update 202/7812: Reward=-270.215, SPS=159, OffWin=0.20, DefWin=0.00
Update 203/7812: Reward=-273.593, SPS=159, OffWin=0.43, DefWin=0.00
